# Kranji phonic partition - initial: zero
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 1115
U+71A0	熠	yì	yì	
U+71A8	熨	yù,yùn	yùn	
U+71AC	熬	āo,áo	áo	áo(21)
U+71CF	燏	yù	yù	
U+71D5	燕	yān,yàn	yàn	yàn(59)
U+71DA	燚	yì	yì	
U+71E0	燠	yù	yù	
U+721A	爚	yuè	yuè	
U+7230	爰	yuán	yuán	
U+7231	爱	ài	ài	ài(1137)
U+7237	爷	yé	yé	ye(671) yé(281)
U+723B	爻	yáo	yáo	
U+7256	牖	yǒu	yǒu	
U+7259	牙	yá	yá	yá(187)
U+7269	物	wù	wù	wù(2422) wu(11)
U+727E	牾	wǔ	wǔ	
U+72B4	犴	àn,hān	àn	
U+72B9	犹	yóu	yóu	yóu(57)
U+72C1	狁	yǔn	yǔn	
U+72F1	狱	yù	yù	yù(85)
U+72F3	狳	yú	yú	
U+72FA	狺	yín	yín	
U+7317	猗	yī	yī	
U+7325	猥	wěi	wěi	
U+732C	猬	wèi	wèi	wei(14)
U+7330	猰	yà	yà	
U+7337	猷	yóu	yóu	
U+733A	猺	yáo	yáo	
U+733F	猿	yuán	yuán	yuán(136)
U+7352	獒	áo	áo	
U+7389	玉	yù	yù	yù(112)
U+738B	王	wáng	wáng	wáng(278)
U+7399	玙	yú	yú	
U+739A	玚	yáng	yáng	
U+739F	玟	wén	wén	
U+73A1	玡	yá	yá	
U+73A5	玥	yuè	yuè	
U+73A9	玩	wán	wán	wán(222)
U+73AE	玮	wěi	wěi	
U+73E2	珢	yín	yín	
U+73E5	珥	ěr	ěr	
U+73E7	珧	yáo	yáo	
U+73F7	珷	wǔ	wǔ	
U+73F8	珸	wú	wú	
U+740A	琊	yá	yá	
U+741F	琟	wéi	wéi	
U+742C	琬	wǎn	wǎn	
U+7430	琰	yǎn	yǎn	
U+7440	瑀	yǔ	yǔ	
U+7457	瑗	yuàn	yuàn	
U+745B	瑛	yīng	yīng	
U+745C	瑜	yú	yú	
U+7476	瑶	yáo	yáo	
U+7477	瑷	ài	ài	
U+7488	璈	áo	áo	
U+748E	璎	yīng	yīng	
U+74BA	璺	wèn	wèn	
U+74E6	瓦	wǎ,wà	wǎ	wǎ(46)
U+74EE	瓮	wèng	wèng	
U+74EF	瓯	ōu	ōu	
U+7517	甗	yǎn	yǎn	
U+7528	用	yòng	yòng	yòng(4975) yong(28)
U+752C	甬	yǒng	yǒng	
U+7531	由	yóu	yóu	yóu(1623)
U+754F	畏	wèi	wèi	wèi(20)
U+7556	畖	wā	wā	
U+756C	畬	yú	shē	
U+7579	畹	wǎn	wǎn	
U+7591	疑	yí	yí	yí(163)
U+75A1	疡	yáng	yáng	
U+75A3	疣	yóu	yóu	
U+75AB	疫	yì	yì	yì(11)
U+75C8	痈	yōng	yōng	
U+75CD	痍	yí	yí	
U+75D2	痒	yǎng	yǎng	yǎng(16)
U+75E6	痦	wù	wù	
U+75FF	痿	wěi	wěi	
U+7600	瘀	yū	yū	
U+7610	瘐	yǔ	yǔ	
U+7617	瘗	yì	yì	
U+761F	瘟	wēn	wēn	
U+763E	瘾	yǐn	yǐn	
U+763F	瘿	yǐng	yǐng	
U+764C	癌	ái	ái	ái(35)
U+7654	癔	yì	yì	
U+7691	皑	ái	ái	
U+7696	皖	wǎn	wǎn	
U+76C2	盂	yú	yú	
U+76C8	盈	yíng	yíng	
U+76CA	益	yì	yì	yì(335)
U+76CE	盎	àng	àng	
U+76D0	盐	yán	yán	yán(70)
U+76E6	盦	ān	ān	
U+7719	眙	yí	yí	
U+7722	眢	yuān	yuān	
